School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Area,Org_Type,Definition,Authority,CoEd_Status,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Area_Unit,Ward,Col_Id,Col_Name,Longitude,Latitude,Decile,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International
553,Mission Heights Junior College,09 277 7881,09 277 7883,admin@mhjc.school.nz,Ian Morrison,http://www.mhjc.school.nz,Jeffs Road,Flat Bush,Auckland,P O Box 64448,Botany,Manukau,2163,Main Urban Area,Secondary (Year 7-10),Restricted Composite (Year 7-10),State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.931234,-36.963902,7,00:00.0,804,101,50,82,521,31,19,0
555,Tangaroa College Teen Parent Unit,09 274 5764,09 274 6371,office@tangaraoa.school.nz,Davida Suasua,http://www.tangaroa.school.nz,Haumia Way,Otara South,Auckland,P O Box 61476,Otara,Manukau,2159,Main Urban Area,Teen Parent Unit,Not Applicable,State,Co-Educational,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Rongomai,Manukau Ward,,,174.892601,-36.973103,1,00:00.0,0,0,0,0,0,0,0,0
557,Holy Family School (Wanaka),03 443 2394,03 443 2395,office@holyfamilywanaka.school.nz,Joanna McKay,http://www.holyfamilyschoolwanaka.com,152 Aubrey Road,,Wanaka,P O Box 592,,Wanaka,9305,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Wanaka,Wanaka Ward,,,169.13762,-44.679784,10,00:00.0,202,178,14,2,6,2,0,0
558,TKKM o Te Kura Kokiri,07 542 1864,07 542 1867,rawi.nuku@kurakokiri.maori.nz,Mark Nicholas,http://www.kurakokiri.maori.nz,1223 Welcome Bay Road,Welcome Bay,Tauranga,P O Box 867,Seventh Avenue,Tauranga,3140,Main Urban Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Kairua,Mount Maunganui-Papamoa Ward,,,176.283679,-37.723428,2,00:00.0,155,4,149,2,0,0,0,0
559,Te Wainui a Rua,06 342 8123,,office@tewainuiarua.school.nz,Karleen Marshall,,4502 Whanganui River Road,,Ranana,4502 Whanganui River Road RD 6,,Whanganui,4576,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Fordell-Kakatahi,Area Outside Ward,99170,Te Hononga Kāhui Kura - Kāhui Ako,175.107521,-39.58259,2,00:00.0,27,0,27,0,0,0,0,0
563,Albany Senior High School,09 451 9065,09 451 9209,info@ashs.school.nz,Claire Amos,http://www.ashs.school.nz,536 Albany Highway,Albany,Auckland,P O Box 300380,Albany,North Shore City,752,Main Urban Area,Secondary (Year 11-15),Not Applicable,State,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Albany,Albany Ward,99128,Whānau ki te Ako: Albany / Greenhithe,174.695767,-36.730171,10,00:00.0,730,455,45,23,123,34,34,16
564,Ormiston Senior College,09 551 2430,,info@ormiston.school.nz,Diana Patience,http://www.ormiston.school.nz/,275 Ormiston Road,Flat Bush,Auckland,P O Box 217104,Botany Junction,Auckland,2164,Main Urban Area,Secondary (Year 11-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.918245,-36.967953,7,00:00.0,616,63,29,53,401,44,4,22
565,Stonefields School,09 527 7721,,admin@stonefields.school.nz,Sarah Martin,http://www.stonefields.school.nz/,81 Tihi Street,Stonefields,Auckland,81 Tihi Street,Stonefields,Auckland,1072,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Stonefields,Orakei Ward,99031,Manaiakalani Community of Learning,174.84054,-36.888306,9,00:00.0,681,325,50,27,226,45,8,0
566,Maraekakaho School,06 874 9700,06 874 9790,office@mkk.school.nz,Philip Jones,http://www.mkk.school.nz,68 Kereru Road,,Maraekakaho,68 Kereru Road RD 1,,Hastings,4171,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Hastings District,Hawke's Bay Region,Napier,Hawke's Bay/Tairawhiti,Tukituki,Ikaroa-Rawhiti,Maraekakaho,Kahuranaki Ward,99136,Whirinaki Community of Learning,176.617898,-39.648538,8,00:00.0,173,137,33,0,2,1,0,0
567,Te Wharekura o Te Kaokaoroa o Patetere,07 883 3780,07 883 3784,office@kaokaoroa.school.nz,Keith Silveira,http://www.kaokaoroa.school.nz,117 Buckland Street,,Putaruru,117 Buckland Street,,Putaruru,3411,Minor Urban Area,Composite,Designated Character School,State,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Putaruru,Putaruru Ward,99084,Tainui Kāhui Kura Community of Learning,175.774429,-38.044277,2,00:00.0,311,1,308,2,0,0,0,0
570,Mission Heights Primary School,09 277 7888,09 277 7883,admin@mhp.school.nz,Veena Vohra,http://www.mhp.school.nz,Jeffs Road,Flat Bush,Auckland,P O Box 64448,Botany,Manukau,2163,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.931665,-36.962388,8,00:00.0,711,46,21,46,566,29,3,0
571,ACG Sunderland,09 838 7070,09 838 7040,,Nathan Villars,http://www.acgedu.com/nz/sunderland,6 Waipareira Avenue,Henderson,Waitakere,6 Waipareira Avenue,Henderson,Waitakere,610,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,,,174.633796,-36.864296,99,00:00.0,380,125,15,21,149,11,4,55
572,Rangiora West Primary School (Proposed opening date: 2020-01-01),,,,,,53-59 Pentecost Road,,Rangiora,P O Box 708,,Rangiora,7440,Not Applicable,Full Primary,Not Applicable,State,N/A - No Boarders,,,,Canterbury/Chatham Islands,No Description,Missing,Not Applicable/Unknown,,,,,,,00:00.0,0,0,0,0,0,0,0,0
577,Te Totara Primary School,07 853 0039,,receptionist@tetotara.school.nz,Brian Sheedy,http://www.tetotara.school.nz,31 Hector Drive,Rototuna North,Hamilton,P O Box 28134,Rototuna,Hamilton,3256,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Horsham Downs,East Ward,99132,Te Pae Here Kāhui Ako Te Raki Rāwhiti o Kirikiriroa,175.268723,-37.719806,10,00:00.0,786,327,98,18,236,103,4,0
579,Knights Stream School- Mingimingi Hautoa (Proposed opening date: 2019-01-01),,,,Michael Molloy,,381 Halswell Road,Halswell,Christchurch,,,,    ,Main Urban Area,Full Primary,Not Applicable,State,N/A - No Boarders,Christchurch City,Canterbury Region,,Canterbury/Chatham Islands,Port Hills,Te Tai Tonga,Halswell Domain,Halswell Ward,,,,,,00:00.0,0,0,0,0,0,0,0,0
584,West Rolleston Primary School,03 595 0952,,,Sylvia Fidow,http://www.westrolleston.school.nz,327 Dunns Crossing Road,,Rolleston,327 Dunns Crossing Road RD 8,,Christchurch,7678,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Springston,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,172.355909,-43.606883,10,00:00.0,466,319,58,15,48,12,14,0
585,Ararira Springs Primary- Te Puna o Ararira (Proposed opening date: 2019-01-01),03 420 0888,,,Claire Howison,http://www.ararira.school.nz/,18 Russ Drive,,Lincoln,P O Box 69083,,Lincoln,7640,Minor Urban Area,Full Primary,Not Applicable,State,N/A - No Boarders,Selwyn District,Canterbury Region,,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Lincoln,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,,,,00:00.0,0,0,0,0,0,0,0,0
586,Shotover Primary School,03 409 0005,,,Benjamin Witheford,http://www.shotover.school.nz,57 Stalker Road,,Queenstown,57 Stalker Road,Lower Shotover,Queenstown,9304,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Lake Hayes South,Queenstown-Wakatipu Ward,99093,Wakatipu Community of Learning,168.77662,-45.005739,10,00:00.0,538,422,43,11,39,14,9,0
588,Hingaia Peninsula School,09 299 3628,,info@hp.school.nz,Jane Danielson,http://www.hingaiapeninsula.school.nz,171 Hingaia Road,Karaka,Auckland,P O Box 72815,,Auckland,2680,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Hingaia,Manurewa-Papakura Ward,99099,Rosehill Community of Learning,174.916185,-37.077438,10,00:00.0,303,115,32,11,133,11,1,0
589,Te Kura o Nga Ruahine Rangi,06 764 7050,06 764 7053,admin@ngaruahine.school.nz,Ngapera Moeahu-Teitinga,,520 Eltham Road,,Mangatoki,520 Eltham Road RD 21,,Stratford,4391,Rural Area,Composite (Year 1-10),Designated Character School,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Mangatoki-Moeroa,Eltham Ward,,,174.229208,-39.423815,2,00:00.0,45,1,44,0,0,0,0,0
593,Te Uho O Te Nikau Primary School (Proposed opening date: 2019-01-01),,,,Melissa Bland,http://www.tenikau.school.nz/,187 Flat Bush School Road,Flat Bush,Auckland,P O Box 217183,Botany Junction,Auckland,2164,Not Applicable,Contributing,Not Applicable,State,Co-Educational,,,,Auckland,No Description,Missing,Not Applicable/Unknown,,,,,,,00:00.0,0,0,0,0,0,0,0,0
595,Kauri Flats School,09 222 4780,,,Matthew Williams,http://www.kauriflats.school.nz,181 Walters Road,Takanini,Auckland,181 Walters Road RD 2,,Papakura,2852,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Takanini South,Manurewa-Papakura Ward,,,174.949755,-37.044193,3,00:00.0,119,21,37,18,38,4,1,0
600,TKKM o Ngaringaomatariki,09 425 9017,09 425 9218,admin@ngaringaomatariki.school.nz,Reno Skipper,,34 Oruawharo School Road,Oruawharo,Wellsford,34 Oruawharo School Road RD 5,,Wellsford,975,Rural Area,Full Primary,Kura Kaupapa Maori,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,Otamatea Ward,99118,Twin Coast Community of Learning,174.409954,-36.272809,2,00:00.0,35,1,34,0,0,0,0,0
601,Kumeroa School,06 376 4542,06 376 4542,office@kumeroa.school.nz,Caroline Transom,http://www.kumeroa.school.nz,Cnr Township & School Roads,,Kumeroa,58 Township Road RD 1,,Woodville,4997,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Papatawa,South Tararua Ward,99071,Tararua Kāhui Ako,175.989708,-40.337628,8,00:00.0,52,45,4,0,2,0,1,0
603,KingsGate School,09 239 0297,09 239 0297,admin@kingsgate.school.nz,Jared Stein,http://www.kingsgate.school.nz,53 Victoria Street,Pukekohe West,Auckland,53 Victoria Street,,Pukekohe,2120,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Auckland - Franklin,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Pukekohe North,Franklin Ward,99189,South East Christian Kāhui Ako,174.896802,-37.20001,5,00:00.0,107,62,13,25,4,2,1,0
604,Golden Grove School,09 636 4461,,kana@goldengrove.school.nz,Helena Royden,http://www.goldengrove.school.nz,57 Grey Street,Onehunga,Auckland,57 Grey Street,Onehunga,Auckland,1061,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Maungakiekie,Tamaki Makaurau,Onehunga South East,Maungakiekie-Tamaki Ward,,,174.783874,-36.918935,99,00:00.0,46,22,4,6,9,0,1,4
605,Wentworth Primary,09 428 0903,,enquiries@wentworth.school.nz,Bruce Tong,http://www.wentworth.school.nz/,95 Gulf Harbour Drive,Gulf Harbour,Whangaparaoa,P O Box 650,,Whangaparaoa,943,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Army Bay,Albany Ward,,,174.793869,-36.614505,10,00:00.0,99,74,3,2,16,1,0,3
607,Big Rock Primary School,03 481 1781,,office@bigrock.school.nz,David Grant,,2 Bath Street,,Brighton,2 Bath Street,Brighton,Dunedin,9035,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Brighton,Area Outside Ward,,,170.330222,-45.94929,8,00:00.0,102,84,13,1,2,2,0,0
608,Ashburton Christian School,03 307 6340,,office@acs.school.nz,Timothy Kuipers,http://www.ashburtonchristian.school.nz,119 Albert Street,Elgin,Ashburton,P O Box 632,,Ashburton,7740,Secondary Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Ashburton East,Eastern Ward,99043,Hakatere (Ashburton) Community of Learning,171.772082,-43.911164,6,00:00.0,124,80,7,3,26,8,0,0
610,Seven Oaks School,03 377 8603,,office@sevenoaks.school.nz,Molly Watson,http://www.sevenoaks.school.nz/,77 Murphys Road,Halswell,Christchurch,77 Murphys Road,Halswell,Christchurch,8025,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Halswell West,Halswell Ward,,,172.54845,-43.582665,99,00:00.0,43,37,3,0,3,0,0,0
612,Henderson - Teen Parent Unit - He Wero o nga Wahine,09 838 9085,09 838 9164,admin@hhs.school.nz,Michael Purcell,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,P O Box 21141,Waitakere,Auckland,650,Main Urban Area,Teen Parent Unit,Not Applicable,State,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,,,174.628298,-36.883321,1,00:00.0,0,0,0,0,0,0,0,0
614,Amesbury School,04 477 3423,04 974 5956,office@amesbury.school.nz,Lesley Murrihy,http://www.amesbury.school.nz,48 Amesbury Drive,Churton Park,Wellington,48 Amesbury Drive,Churton Park,Wellington,6037,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Churton Park North,Northern Ward,99139,Northern Suburbs Community of Learning,174.802127,-41.199088,10,00:00.0,269,111,8,2,131,9,3,5
615,Rototuna Senior High School,07 854 0541,,,Natasha Hemara,http://www.rshs.school.nz,Kimbrae Drive,Rototuna,Hamilton,P O Box 21116,Rototuna,Hamilton,3210,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Horsham Downs,East Ward,99132,Te Pae Here Kāhui Ako Te Raki Rāwhiti o Kirikiriroa,175.261926,-37.715462,10,00:00.0,317,210,46,6,47,6,2,0
616,Murihiku Young Parents' Learning Centre,03 217 9659,03 217 9659,,Andrew Wood,,Isabella Street,,Invercargill,282 Layard Street,,Invercargill,9810,Main Urban Area,Teen Parent Unit,Not Applicable,State,Co-Educational,Invercargill City,Southland Region,Invercargill,Otago/Southland,Invercargill,Te Tai Tonga,Hawthorndale,Area Outside Ward,,,168.378055,-46.406674,1,00:00.0,0,0,0,0,0,0,0,0
617,City Impact Church School (Secondary),09 477 0302,09 477 0301,,Darrell Parratt,http://www.cityimpactchurch.school.nz,794 East Coast Road,Oteha,Auckland,P O Box 35211,Browns Bay,Auckland,753,Main Urban Area,Secondary (Year 9-15),Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Northcross,Albany Ward,,,174.72166,-36.722468,10,00:00.0,59,32,3,7,6,10,1,0
618,Sancta Maria Catholic Primary School,09 271 5249,09 272 8675,principal@sanctamariaprimary.school.nz,Gina Benade,http://www.sanctamariaprimary.school.nz/1/pages/3-welcome,317 Te Irirangi Drive,Flat Bush,Manukau,P O Box 259074,Botany,Manukau,2163,Main Urban Area,Contributing,Not Applicable,State : Integrated,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Ormiston,Howick Ward,99189,South East Christian Kāhui Ako,174.903915,-36.959987,5,00:00.0,402,24,19,80,239,40,0,0
620,Huanui College,09 459 1930,09 459 1936,admin@huanuicollege.school.nz,Peter Ackers,http://www.hc.school.nz/,328 Ngunguru Road RD 3,Glenbervie,Whangarei,328 Ngunguru Road RD 3,,Whangarei,173,Rural Area,Secondary (Year 7-15),Not Applicable,Private : Fully Registered,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Punaruku-Kiripaka,Whangarei Heads Ward,,,174.361725,-35.668284,9,00:00.0,237,155,44,4,19,7,4,4
622,Silverstream Christian School,04 974 8610,,,Jared Bruning,http://www.silverstreamchristian.school.nz,4 - 8 Blue Mountain Road,Silverstream,Upper Hutt,P O Box 48195,Silverstream,Upper Hutt,5142,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Pinehaven,Area Outside Ward,,,175.014548,-41.151274,99,00:00.0,24,24,0,0,0,0,0,0
624,Te Karaka Area School,06 862 3097,,,Gordon Pepere,http://tkas.school.nz,5 Kanakanaia Road,Te Karaka,Gisborne,P O Box 3,Te Karaka,Gisborne,4042,Rural Area,Composite,Not Applicable,State,Co-Educational,Gisborne District,Gisborne Region,Napier,Hawke's Bay/Tairawhiti,East Coast,Ikaroa-Rawhiti,Te Karaka,Waipaoa Ward,99082,Taha Tinana (Gisborne) Kāhui Ako,177.866318,-38.469043,2,00:00.0,102,9,93,0,0,0,0,0
628,TKKM o Tuia te Matangi,03 928 0031,03 928 0032,tari@tuiatematangi.ac.nz,,,61 Croucher Street,Richmond,Nelson,P O Box 8026,Nelson Mail Centre,Nelson,7042,Main Urban Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Tasman District,Tasman Region,Nelson,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Richmond East,Richmond Ward,99005,Nelson City Community of Learning,173.190247,-41.334758,4,00:00.0,43,2,40,1,0,0,0,0
630,Te Kura Maori o Nga Tapuwae,09 551 6161,09 551 6170,info@ngatapuwae.school.nz,Arihia Stirling,http://www.ngatapuwae.school.nz,253 Buckland Road West,Mangere,Auckland,P O Box 43213,Mangere,Manukau,2153,Main Urban Area,Composite,Designated Character School,State,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Harania West,Manukau Ward,,,-36.965266,174.81709,2,00:00.0,263,0,259,4,0,0,0,0
631,Kia Aroha College,09 274 5807,09 274 5942,emily.singh@kiaaroha.school.nz,Haley Milne,http://www.kiaaroha.school.nz/,51 Othello Drive,Otara,Auckland,51 Othelllo Drive,Otara,Auckland,2023,Main Urban Area,Secondary (Year 7-15),Designated Character School,State,Co-Educational,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Clover Park,Manukau Ward,,,174.892769,-36.980847,1,00:00.0,210,1,89,108,11,0,1,0
632,Tai Wananga,07 853 0035,07 853 0579,info@taiwananga.co.nz,Toby Westrupp,http://www.taiwananga.co.nz,Ruakura AgResearch Centre East Street,,Hamilton,P O Box 14024,Five Cross Roads,Hamilton,3252,Main Urban Area,Secondary (Year 9-15),Designated Character School,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton East,Hauraki-Waikato,Newstead,East Ward,,,175.305794,-37.775338,4,00:00.0,171,3,163,4,0,0,1,0
633,Kingsview School,03 451 1444,,office@kingsview.school.nz,Michael Stanley,http://www.kingsview.school.nz,14 Yewlett Cresent,Frankton,Queenstown,P O Box 2113,,Queenstown,9349,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Frankton,Queenstown-Wakatipu Ward,99093,Wakatipu Community of Learning,168.727611,-45.017708,10,00:00.0,50,29,3,1,13,3,0,1
639,Pa Harakeke Teen Parent Unit,07 886 6109,07 886 5792,,William Ford,,Billah Street,,Tokoroa,Private Bag,,Tokoroa,3444,Secondary Urban Area,Teen Parent Unit,Not Applicable,State,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Matarawa,Tokoroa Ward,,,175.861546,-38.22597,1,00:00.0,0,0,0,0,0,0,0,0
641,Te Wharekura o Nga Purapura o Te Aroha,07 872 6181,07 870 1018,npota@twoa.ac.nz,Jade Tapine,,320 Factory Road,,Te Awamutu,P O Box 151,,Te Awamutu,3840,Main Urban Area,Composite,Designated Character School,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Awamutu Central,Te Awamutu Ward,99084,Tainui Kāhui Kura Community of Learning,175.314307,-38.002932,3,00:00.0,96,5,90,1,0,0,0,0
647,Bathgate Park School,03 455 3421,,office@bathgatepark.school.nz,Katrina Robertson (Acting),http://www.bathgatepark.school.nz,213 Macandrew Road,South Dunedin,Dunedin,213 Macandrew Road,South Dunedin,Dunedin,9012,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Forbury,Area Outside Ward,,,170.49225,-45.900324,3,00:00.0,200,85,72,30,12,0,1,0
648,Carisbrook School,03 455 8315,03 455 3720,,Ben Sincock,http://www.carisbrook.school.nz,217 South Road,Caversham,Dunedin,217 South Road,Caversham,Dunedin,9012,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Caversham,Area Outside Ward,,,170.484086,-45.895384,3,00:00.0,354,157,111,39,11,35,1,0
651,Te Whata Tau o Putauaki,07 323 8486,07 323 8486,tari@twtop.school.nz,Ripeka Lessels,http://www.twtop.school.nz,39-57 Galway Street,,Kawerau,P O Box 124,,Kawerau,3127,Minor Urban Area,Composite,Designated Character School,State,Co-Educational,Kawerau District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,99038,Pūtauaki ki Rangitaiki Kāhui Ako,176.706586,-38.083368,1,00:00.0,80,0,79,1,0,0,0,0
654,Rolleston College,03 595 2490,,,Steve Saville,http://www.rollestoncollege.nz,631 Springston Rolleston Road,,Rolleston,P O Box 86045,Rolleston West,Rolleston,7658,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,172.388506,-43.603512,10,00:00.0,426,323,61,9,24,6,3,0
655,Kawerau Putauaki School,07 323 7093,07 323 7764,admin@putauaki.school.nz,Rachel Chater,http://www.putauaki.school.nz,87-89 Fenton Mill Road,,Kawerau,87-89 Fenton Mill Road,,Kawerau,3127,Minor Urban Area,Contributing,Not Applicable,State,Co-Educational,Kawerau District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,99038,Pūtauaki ki Rangitaiki Kāhui Ako,176.685505,-38.089838,2,00:00.0,206,20,177,2,4,0,3,0
658,Murupara Area School,07 366 5602,07 366 5366,office@mas.school.nz,Angela Sharples,http://www.mas.school.nz,84 Pine Drive,,Murupara,P O Box 26,,Murupara,3062,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Murupara,Galatea-Murupara Ward,99038,Pūtauaki ki Rangitaiki Kāhui Ako,176.703043,-38.455349,1,00:00.0,325,9,314,1,0,1,0,0
660,Kahurangi School,04 388 6386,,office@kahurangi.school.nz,Kyran Smith,http://kahurangi.school.nz,45 Strathmore Avenue,Strathmore,Wellington,43 Strathmore Avenue,Strathmore,Wellington,6022,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Strathmore Park,Eastern Ward,99141,Motu Kairangi Kāhui Ako,174.820897,-41.328363,3,00:00.0,215,62,71,43,20,19,0,0
661,Tarawera High School,07 323 6553,07 323 6552,office@tarawera.school.nz,Helen Tuhoro,http://www.tarawera.school.nz,58-122 River Road,,Kawerau,P O Box 12,,Kawerau,3169,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kawerau District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,99038,Pūtauaki ki Rangitaiki Kāhui Ako,176.709394,-38.087202,1,00:00.0,442,61,373,1,5,1,1,0
670,Nelson Teen Parent Unit,03 548 7970,,,Catherine Ewing,,111 Haven Road,,Nelson,P O Box 842,,Nelson,7040,Main Urban Area,Teen Parent Unit,Not Applicable,State,Co-Educational,Nelson City,Nelson Region,Nelson,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Britannia,Area Outside Ward,,,173.277873,-41.26812,1,00:00.0,0,0,0,0,0,0,0,0
671,Waikato Montessori Education Centre,07 858 3563,07 858 3561,admin@goldenbeads.org.nz,Diane Bhana,http://www.goldenbeads.org.nz,267 Newell Road,,Hamilton,P O Box 10161,Te Rapa,Hamilton,3241,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Tamahere-Tauwhare,Tamahere Ward,,,175.340394,-37.82715,99,00:00.0,51,29,7,0,13,2,0,0
674,Levin Teen Parent Unit,06 368 1073,06 368 8340,,Mark Robinson,,Bartholomew Road,,Levin,P O Box 548,,Levin,5540,Secondary Urban Area,Teen Parent Unit,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Playford Park,Levin Ward,,,175.296342,-40.629516,1,00:00.0,0,0,0,0,0,0,0,0
